rule_id,severity,subject,cluster_id,person_number,summary,visible_in_platform_data,evidence
R3_ORPHANED_NHI,CRITICAL,svc-monitoring-4,C000332,EMP560948,"SERVICE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": ""EMP560948"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-reporting,C000257,,"SERVICE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-reporting-3,C000266,EMP343510,"SERVICE identity with a terminated owner, holding 2 entitlements",yes,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": ""EMP343510"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-reporting-5,C000274,EMP343510,"SERVICE identity with a terminated owner, holding 2 entitlements",yes,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": ""EMP343510"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-reporting-7,C000307,EMP558106,"SERVICE identity with a terminated owner, holding 2 entitlements",no,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": ""EMP558106"", ""owner_status"": ""TERMINATED"", ""purpose"": """", ""review_cadence"": """"}"
R3_ORPHANED_NHI,CRITICAL,svc-sqlagent,C000267,,"SERVICE identity with no recorded owner, holding 2 entitlements",no,"{""critical_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""entitlements_held"": 2, ""nhi_class"": ""SERVICE"", ""owner_person_number"": null, ""owner_status"": ""UNKNOWN"", ""purpose"": """", ""review_cadence"": """"}"
R4_ORPHANED_ADMIN_ACCOUNT,CRITICAL,a-chidi.rodriguez,C000407,EMP339807,privileged account whose owner has been terminated,no,"{""ad_enabled"": true, ""correlation_confidence"": 0.88, ""correlation_status"": ""RESOLVED"", ""owner_person_number"": ""EMP339807"", ""owner_status"": ""TERMINATED"", ""parent_cluster"": ""C000042"", ""privileged_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""termination_date"": ""2026-05-23""}"
R4_ORPHANED_ADMIN_ACCOUNT,CRITICAL,a-elena.menon,C000411,,privileged account with no confirmed owner,yes,"{""ad_enabled"": true, ""correlation_confidence"": 0.4, ""correlation_status"": ""REVIEW"", ""owner_person_number"": null, ""owner_status"": ""UNCONFIRMED"", ""parent_cluster"": ""C000077"", ""privileged_entitlements"": [""GRP_SRV_ADMIN_TIER1""], ""termination_date"": null}"
R4_ORPHANED_ADMIN_ACCOUNT,CRITICAL,a-faisal.smith,C000405,EMP466112,privileged account whose owner has been terminated,no,"{""ad_enabled"": false, ""correlation_confidence"": 0.88, ""correlation_status"": ""RESOLVED"", ""owner_person_number"": ""EMP466112"", ""owner_status"": ""TERMINATED"", ""parent_cluster"": ""C000173"", ""privileged_entitlements"": [], ""termination_date"": ""2026-02-27""}"
R4_ORPHANED_ADMIN_ACCOUNT,CRITICAL,a-mnair,C000403,EMP322538,privileged account whose owner has been terminated,no,"{""ad_enabled"": false, ""correlation_confidence"": 0.88, ""correlation_status"": ""RESOLVED"", ""owner_person_number"": ""EMP322538"", ""owner_status"": ""TERMINATED"", ""parent_cluster"": ""C000116"", ""privileged_entitlements"": [], ""termination_date"": ""2026-04-18""}"
R4_ORPHANED_ADMIN_ACCOUNT,CRITICAL,a-rashid.gonzalez,C000409,EMP473283,privileged account whose owner has been terminated,no,"{""ad_enabled"": false, ""correlation_confidence"": 0.88, ""correlation_status"": ""RESOLVED"", ""owner_person_number"": ""EMP473283"", ""owner_status"": ""TERMINATED"", ""parent_cluster"": ""C000163"", ""privileged_entitlements"": [], ""termination_date"": ""2026-03-24""}"
R4_ORPHANED_ADMIN_ACCOUNT,CRITICAL,a-rosa.rodriguez,C000404,EMP631916,privileged account whose owner has been terminated,no,"{""ad_enabled"": false, ""correlation_confidence"": 0.88, ""correlation_status"": ""RESOLVED"", ""owner_person_number"": ""EMP631916"", ""owner_status"": ""TERMINATED"", ""parent_cluster"": ""C000174"", ""privileged_entitlements"": [], ""termination_date"": ""2026-04-01""}"
R5_SOD_VIOLATION,CRITICAL,abrown,C000019,EMP786322,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,amara.santos,C000239,EMP667209,SOD-FIN-01: vendor maintenance and payment approval,yes,"{""entitlements"": [""ORA_AP_VENDOR_MAINTAIN"", ""ORA_AP_PAYMENT_APPROVE""], ""rationale"": ""Enables creation of a fictitious vendor and self-approval of payment to it."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-01""}"
R5_SOD_VIOLATION,CRITICAL,amiller,C000182,EMP607142,SOD-HR-01: worker maintenance and payroll execution,yes,"{""entitlements"": [""ORA_HCM_WORKER_MAINTAIN"", ""ORA_HCM_PAYROLL_RUN""], ""rationale"": ""Permits creation of a ghost worker and payment to them."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-HR-01""}"
R5_SOD_VIOLATION,CRITICAL,anjali.perez,C000208,EMP211389,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,arjun.kapoor,C000158,EMP151249,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,arjun.liu,C000046,EMP421933,SOD-IT-01: directory administration and clinical charting correction,yes,"{""entitlements"": [""GRP_SRV_ADMIN_TIER1"", ""CERN_SEC_CHART_CORRECT""], ""rationale"": ""Permits an administrator to alter clinical records and suppress the identity trail."", ""reachable_from_platform_data"": true, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-IT-01""}"
R5_SOD_VIOLATION,CRITICAL,emeka.garcia2,C000090,EMP269106,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,huda.kapoor,C000185,EMP212346,SOD-FIN-01: vendor maintenance and payment approval,yes,"{""entitlements"": [""ORA_AP_VENDOR_MAINTAIN"", ""ORA_AP_PAYMENT_APPROVE""], ""rationale"": ""Enables creation of a fictitious vendor and self-approval of payment to it."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-01""}"
R5_SOD_VIOLATION,CRITICAL,huda.nwosu,C000238,EMP293611,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,james.pereira,C000043,EMP420034,SOD-HR-01: worker maintenance and payroll execution,yes,"{""entitlements"": [""ORA_HCM_WORKER_MAINTAIN"", ""ORA_HCM_PAYROLL_RUN""], ""rationale"": ""Permits creation of a ghost worker and payment to them."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-HR-01""}"
R5_SOD_VIOLATION,CRITICAL,james.smith,C000139,EMP418727,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,kwame.lopez,C000391,EMP584727,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,ling.okafor,C000151,,SOD-HR-01: worker maintenance and payroll execution,yes,"{""entitlements"": [""ORA_HCM_WORKER_MAINTAIN"", ""ORA_HCM_PAYROLL_RUN""], ""rationale"": ""Permits creation of a ghost worker and payment to them."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-HR-01""}"
R5_SOD_VIOLATION,CRITICAL,mokafor,C000172,EMP462844,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,ngozi.ahmed,C000144,EMP879434,SOD-HR-01: worker maintenance and payroll execution,yes,"{""entitlements"": [""ORA_HCM_WORKER_MAINTAIN"", ""ORA_HCM_PAYROLL_RUN""], ""rationale"": ""Permits creation of a ghost worker and payment to them."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-HR-01""}"
R5_SOD_VIOLATION,CRITICAL,omar.johnson,C000346,EMP409905,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,omar.zhao,C000089,EMP671297,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,rosa.okafor,C000186,EMP572193,SOD-FIN-01: vendor maintenance and payment approval,yes,"{""entitlements"": [""ORA_AP_VENDOR_MAINTAIN"", ""ORA_AP_PAYMENT_APPROVE""], ""rationale"": ""Enables creation of a fictitious vendor and self-approval of payment to it."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-FIN-01""}"
R5_SOD_VIOLATION,CRITICAL,rosa.okafor,C000186,EMP572193,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,salim.ahmed2,C000032,EMP503660,SOD-HR-01: worker maintenance and payroll execution,yes,"{""entitlements"": [""ORA_HCM_WORKER_MAINTAIN"", ""ORA_HCM_PAYROLL_RUN""], ""rationale"": ""Permits creation of a ghost worker and payment to them."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-HR-01""}"
R5_SOD_VIOLATION,CRITICAL,salim.ahmed2,C000032,EMP503660,SOD-CLIN-01: controlled substance ordering and dispensing,no,"{""entitlements"": [""CERN_SEC_ORDER_CPOE"", ""PYX_DISPENSE_CTRL_SUB""], ""rationale"": ""Permits a single actor to order and dispense controlled substances without independent witness."", ""reachable_from_platform_data"": false, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-CLIN-01""}"
R5_SOD_VIOLATION,CRITICAL,salim.ahmed2,C000032,EMP503660,SOD-IT-01: directory administration and clinical charting correction,yes,"{""entitlements"": [""GRP_SRV_ADMIN_TIER1"", ""CERN_SEC_CHART_CORRECT""], ""rationale"": ""Permits an administrator to alter clinical records and suppress the identity trail."", ""reachable_from_platform_data"": true, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-IT-01""}"
R5_SOD_VIOLATION,CRITICAL,sanjay.williams,C000224,EMP705742,SOD-IT-01: directory administration and clinical charting correction,yes,"{""entitlements"": [""GRP_SRV_ADMIN_TIER1"", ""CERN_SEC_CHART_CORRECT""], ""rationale"": ""Permits an administrator to alter clinical records and suppress the identity trail."", ""reachable_from_platform_data"": true, ""scope"": ""CROSS_APP"", ""sod_rule_id"": ""SOD-IT-01""}"
R5_SOD_VIOLATION,CRITICAL,tariq.mensah,C000222,EMP615599,SOD-HR-01: worker maintenance and payroll execution,yes,"{""entitlements"": [""ORA_HCM_WORKER_MAINTAIN"", ""ORA_HCM_PAYROLL_RUN""], ""rationale"": ""Permits creation of a ghost worker and payment to them."", ""reachable_from_platform_data"": true, ""scope"": ""INTRA_APP"", ""sod_rule_id"": ""SOD-HR-01""}"
R6_COVERAGE_GAP,CRITICAL,LIS,,,"69 entitlements held by 52 identities in LIS, none of which the platform aggregates",no,"{""application"": ""LIS"", ""critical_entitlements"": {""LIS_RESULT_AUTHORISE"": 18}, ""critical_holdings"": 18, ""distinct_holders"": 52, ""holdings"": 69}"
R6_COVERAGE_GAP,CRITICAL,PACS,,,"80 entitlements held by 67 identities in PACS, none of which the platform aggregates",no,"{""application"": ""PACS"", ""critical_entitlements"": {""PACS_ROLE_ADMIN"": 1}, ""critical_holdings"": 1, ""distinct_holders"": 67, ""holdings"": 80}"
R6_COVERAGE_GAP,CRITICAL,PYXIS,,,"45 entitlements held by 45 identities in PYXIS, none of which the platform aggregates",no,"{""application"": ""PYXIS"", ""critical_entitlements"": {""PYX_DISPENSE_CTRL_SUB"": 21, ""PYX_OVERRIDE"": 1}, ""critical_holdings"": 22, ""distinct_holders"": 45, ""holdings"": 45}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,aisha.reddy,C000037,EMP243749,"terminated 2026-04-16, account still enabled holding 4 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [], ""entitlements_held"": 4, ""termination_date"": ""2026-04-16""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,ana.yang,C000024,EMP558106,"terminated 2026-05-04, account still enabled holding 4 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T2_UPN_LOCALPART"", ""critical_entitlements"": [], ""entitlements_held"": 4, ""termination_date"": ""2026-05-04""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,chidi.johnson,C000069,EMP776778,"terminated 2026-02-27, account still enabled holding 6 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [], ""entitlements_held"": 6, ""termination_date"": ""2026-02-27""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,chidi.rodriguez,C000042,EMP339807,"terminated 2026-05-23, account still enabled holding 4 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [], ""entitlements_held"": 4, ""termination_date"": ""2026-05-23""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,faisal.costa,C000109,EMP527549,"terminated 2026-02-11, account still enabled holding 3 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [], ""entitlements_held"": 3, ""termination_date"": ""2026-02-11""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,jose.jones,C000084,EMP586386,"terminated 2026-03-21, account still enabled holding 5 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [], ""entitlements_held"": 5, ""termination_date"": ""2026-03-21""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,maria.garcia,C000351,EMP994782,"terminated 2026-03-09, account still enabled holding 3 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [], ""entitlements_held"": 3, ""termination_date"": ""2026-03-09""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,sanjay.reddy,C000369,EMP475902,"terminated 2026-04-13, account still enabled holding 4 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T2_UPN_LOCALPART"", ""critical_entitlements"": [], ""entitlements_held"": 4, ""termination_date"": ""2026-04-13""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,sanjay.zhang,C000359,EMP667402,"terminated 2026-03-24, account still enabled holding 3 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T1_EMPLOYEE_ID"", ""critical_entitlements"": [], ""entitlements_held"": 3, ""termination_date"": ""2026-03-24""}"
R1_LEAVER_NOT_DEPROVISIONED,HIGH,zainab.patel,C000096,EMP867010,"terminated 2026-04-04, account still enabled holding 3 entitlements",yes,"{""account_type"": ""HUMAN_PRIMARY"", ""ad_enabled"": true, ""correlation_confidence"": 0.99, ""correlation_tier"": ""T2_UPN_LOCALPART"", ""critical_entitlements"": [], ""entitlements_held"": 3, ""termination_date"": ""2026-04-04""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,arjun.costa,C000228,EMP960127,platform records this identity as disabled while the directory has the account enabled with 4 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 4, ""last_logon"": ""2026-01-25"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,daniel.reddy,C000007,EMP652129,platform records this identity as disabled while the directory has the account enabled with 3 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 3, ""last_logon"": ""2026-01-13"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,divya.williams,C000054,EMP486424,platform records this identity as disabled while the directory has the account enabled with 4 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 4, ""last_logon"": ""2026-01-12"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,emeka.perez,C000226,EMP113032,platform records this identity as disabled while the directory has the account enabled with 3 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 3, ""last_logon"": ""2026-01-12"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,emeka.smith,C000053,EMP969908,platform records this identity as disabled while the directory has the account enabled with 5 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 5, ""last_logon"": ""2026-01-19"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,huda.nwosu,C000238,EMP293611,platform records this identity as disabled while the directory has the account enabled with 4 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 4, ""last_logon"": ""2026-01-27"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,huda.santos,C000141,EMP209768,platform records this identity as disabled while the directory has the account enabled with 4 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 4, ""last_logon"": ""2026-01-17"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,noor.lopez,C000033,EMP404440,platform records this identity as disabled while the directory has the account enabled with 3 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 3, ""last_logon"": ""2026-01-23"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,rashid.costa,C000234,EMP340724,platform records this identity as disabled while the directory has the account enabled with 3 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 3, ""last_logon"": ""2026-01-21"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,salim.gonzalez,C000103,EMP467899,platform records this identity as disabled while the directory has the account enabled with 4 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 4, ""last_logon"": ""2026-01-23"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,sanjay.williams,C000224,EMP705742,platform records this identity as disabled while the directory has the account enabled with 9 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 9, ""last_logon"": ""2026-01-15"", ""platform_state"": ""DISABLED""}"
R2_PLATFORM_STATE_DISAGREEMENT,HIGH,wei.mensah,C000213,EMP271502,platform records this identity as disabled while the directory has the account enabled with 3 entitlements,no,"{""directory_enabled"": true, ""entitlements_held"": 3, ""last_logon"": ""2026-01-16"", ""platform_state"": ""DISABLED""}"
